City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,pyaozerskiy,65.8333,31.1667,-6.07,99,13,1.01,RU,1681686502
1,flinders,-34.5833,150.8552,18.92,71,16,0.89,AU,1681686503
2,port macquarie,-31.4333,152.9167,20.5,62,19,4.84,AU,1681686470
3,selenginsk,52.0064,106.8647,-5.9,82,32,1.29,RU,1681686504
4,luderitz,-26.6481,15.1594,20.72,40,2,1.01,NA,1681686326
5,eucaliptus,-17.5833,-67.5167,15.06,34,30,0.95,BO,1681686505
6,port elizabeth,-33.918,25.5701,15.76,81,0,0.93,ZA,1681686461
7,vejprty,50.4923,13.0321,6.19,95,100,1.05,CZ,1681686505
8,bambous virieux,-20.3428,57.7575,24.01,94,40,2.06,MU,1681686506
9,kaitangata,-46.2817,169.8464,17.18,69,3,1.85,NZ,1681686462
10,hualmay,-11.0964,-77.6139,24.72,78,100,4.93,PE,1681686507
11,tura,25.5198,90.2201,24.66,54,7,2.78,IN,1681686351
12,hondo,32.45,130.2,14.15,69,2,2.31,JP,1681686508
13,ribeira grande,38.5167,-28.7,15.99,72,32,3.13,PT,1681686317
14,mokhotlong,-29.2894,29.0675,6.4,46,3,0.88,LS,1681686509
15,abeche,13.8292,20.8324,32.46,20,90,1.08,TD,1681686509
16,punta arenas,-53.15,-70.9167,5.62,65,75,7.2,CL,1681686283
17,thompson,55.7435,-97.8558,5.09,33,40,1.54,CA,1681686102
18,griffith,41.5284,-87.4237,6.02,75,100,7.72,US,1681686511
19,saint-philippe,-21.3585,55.7679,23.77,81,25,2.97,RE,1681686479
20,pevek,69.7008,170.3133,-15.63,87,91,1.56,RU,1681686476
21,nikolskoye,59.7035,30.7861,6.56,63,100,1.48,RU,1681686512
22,atuona,-9.8,-139.0333,27.56,75,39,8.23,PF,1681686440
23,ushuaia,-54.8,-68.3,-0.37,94,64,1.24,AR,1681686469
24,yellowknife,62.456,-114.3525,7.29,42,40,7.72,CA,1681686328
25,east london,-33.0153,27.9116,17.28,76,7,3.73,ZA,1681686182
26,port alfred,-33.5906,26.891,17.57,71,2,3.68,ZA,1681686454
27,rikitea,-23.1203,-134.9692,26.33,82,5,5.8,PF,1681686515
28,laguna,38.421,-121.4238,21.73,46,0,4.12,US,1681686353
29,cervo,43.6702,-7.4101,12.2,81,100,9.25,ES,1681686515
30,beloha,-25.1667,45.05,18.38,72,81,2.71,MG,1681686516
31,hobart,-42.8794,147.3294,15.03,73,20,3.6,AU,1681685940
32,manesti,44.8667,25.85,11.75,89,100,6.02,RO,1681686517
33,busselton,-33.65,115.3333,19.77,72,40,8.13,AU,1681686517
34,morant bay,17.8815,-76.4093,27.06,77,19,4.06,JM,1681686518
35,vaini,-21.2,-175.2,25.09,83,100,6.17,TO,1681686475
36,barrow,71.2906,-156.7887,-18.99,78,0,5.14,US,1681686445
37,royan,45.6285,-1.0281,10.46,80,55,3.71,FR,1681686309
38,maniitsoq,65.4167,-52.9,-1.58,78,4,8.25,GL,1681686519
39,mangai,-4.05,19.5333,20.59,99,100,0.56,CD,1681686520
40,new norfolk,-42.7826,147.0587,14.84,73,73,1.1,AU,1681686494
41,lebu,-37.6167,-73.65,11.83,71,35,8.46,CL,1681686305
42,nanortalik,60.1432,-45.2371,1.75,78,95,0.63,GL,1681686522
43,butaritari,3.0707,172.7902,27.89,77,100,5.13,KI,1681686451
44,kapaa,22.0752,-159.319,27.99,72,20,4.63,US,1681686470
45,broome,42.2506,-75.833,23.43,60,100,4.12,US,1681686341
46,mataura,-46.1927,168.8643,16.15,52,40,1.27,NZ,1681686460
47,kapit,2.0167,112.9333,23.04,91,92,0.4,MY,1681686523
